y dyb dya yKIND yTYPE ypos.lon ypos.lat beta0 beta1 ySST xbSST xaSST xISST dybSST dyaSST dyHadISST
Pacific_2_Asami2005_Guam.d18O -4.917208 -0.28205095 -0.2310474672 KIND_coral d18O 144.8359 13.598183 0.19909781 -0.18118879 28.23743 26.68076 26.96226 28.37704 1.5566689 1.275175297 -0.13960437
Pacific_4_Charles2003_Bali.d18O -5.019686 -0.19601013 -0.2104118777 KIND_coral d18O 115.5757 -8.247282 -1.05215164 -0.14344329 27.65925 26.29279 26.19239 27.97334 1.3664643 1.466864547 -0.31409223
Pacific_5_Charles2003_Bunaken.d18O -5.135875 -0.14389432 0.0118936884 KIND_coral d18O 124.8330 -1.500000 1.21078663 -0.22658715 28.00980 27.37475 28.06229 28.42815 0.6350507 -0.052490570 -0.41834435
Pacific_6_Boiseau2003_Moorea.d18O -4.032500 0.16423563 0.2076816085 KIND_coral d18O 210.1667 -17.500000 -0.02751303 -0.15875976 25.22671 26.26121 26.53486 27.21770 -1.0344916 -1.308150204 -1.99098139
Pacific_7_Tudhope2001_Madang.d18O -4.862800 -0.20840501 -0.0345001328 KIND_coral d18O 145.8167 -5.216667 0.42048836 -0.18861331 28.01122 26.90628 27.82830 28.63695 1.1049327 0.182914620 -0.62573414
Pacific_8_Tudhope2001_Laing.d18O -4.749142 -0.26835392 0.0152183958 KIND_coral d18O 144.8833 -4.150000 2.11611977 -0.24415968 28.11792 27.01882 28.18025 28.83444 1.0990919 -0.062329684 -0.71652781
Indian_14_Felis2000_RasUmSidd.d18O -3.437333 -0.23541863 -0.0671266038 KIND_coral d18O 34.3200 27.850000 -2.10778278 -0.05189065 25.62216 21.08534 24.32854 24.22432 4.5368215 1.293616447 1.39784108
Indian_1_Cole2000_Malindi.d18O -4.386050 -0.06332641 0.0015413936 KIND_coral d18O 40.1000 -3.200000 -1.98476259 -0.09511449 25.24628 24.58049 25.26249 26.64698 0.6657914 -0.016205665 -1.40069608
Indian_2_Nakamura2009_Malindi.d18O -4.755150 -0.12143238 0.0054578682 KIND_coral d18O 40.1000 -3.200000 -0.06034755 -0.18605689 25.23316 24.58049 25.26249 26.64698 0.6526627 -0.029334405 -1.41382482
Indian_3_Zinke2008_Mayotte.d18O -4.801483 -0.07512224 0.0010176621 KIND_coral d18O 45.1000 -12.650000 -0.49827907 -0.17117435 25.13931 24.70044 25.14525 27.02964 0.4388639 -0.005945179 -1.89033218
Indian_4_Zinke2004_Ifaty.d18O -4.475167 -0.11218210 -0.0114974372 KIND_coral d18O 43.5800 -23.150000 -2.35888744 -0.08616981 24.55940 23.25753 24.42598 25.36428 1.3018725 0.133427673 -0.80487330
Indian_5_Kuhnert1999_Houtman.d18O -3.874021 0.21092091 0.2072352201 KIND_coral d18O 113.7700 -28.470000 -2.82670671 -0.05686986 18.41598 22.12481 22.06000 21.32710 -3.7088344 -3.644025232 -2.91112615
Indian_6_Damassa2006_Mafia.d18O -3.964073 -0.18463519 -0.0627149466 KIND_coral d18O 39.5000 -8.016700 0.93476398 -0.19407287 25.24225 24.29088 24.91910 26.77489 0.9513704 0.323151537 -1.53263949
Indian_7_Abram2008_Mentawai.d18O -5.549417 -0.14984454 -0.1448304681 KIND_coral d18O 98.5200 -0.130000 -1.32845270 -0.15283981 27.61691 26.63651 26.66932 28.60431 0.9804025 0.947596483 -0.98739792
Indian_8_Charles1997_Mahe.d18O -4.705963 -0.07058981 0.0783362785 KIND_coral d18O 55.0000 -4.620000 0.23615196 -0.18535773 26.66258 26.28175 27.08520 27.31815 0.3808301 -0.422622128 -0.65557769
Indian_9_Pfeiffer2004_Reunion.d18O -4.080417 0.25126628 0.2191383538 KIND_coral d18O 55.2500 -21.033333 0.21044596 -0.19488502 22.01741 23.30671 23.14186 25.16623 -1.2893053 -1.124449470 -3.14882425
Atlantic_2_Hetzinger2010_Guadeloupe.d18O -4.081268 -0.23622075 -0.0682457356 KIND_coral d18O 298.5100 16.200000 -2.47596535 -0.05643866 28.44332 24.25787 27.23411 27.34342 4.1854423 1.209201963 1.09989474
Atlantic_3_Kilbourne2008_PR.d18O -4.151000 -0.51860267 -0.0430427574 KIND_coral d18O 293.0000 17.930000 0.25916649 -0.15907378 27.72403 24.46389 27.45345 27.40235 3.2601393 0.270583615 0.32168475
Pacific_12_Nurhati2011_Palmyra.SrCa 8.984625 -0.08193039 -0.0019463534 KIND_coral SrCa 197.8700 5.870000 10.38114614 -0.04960375 28.15354 26.50184 28.11430 27.89583 1.6516973 0.039238026 0.25771141
Pacific_10_Quinn2006_Rabaul.SrCa 8.710641 -0.05204627 -0.0309519269 KIND_coral SrCa 151.9772 -4.191550 9.21295828 -0.01668609 30.10397 26.98483 28.24901 29.07887 3.1191414 1.854953859 1.02509445
Pacific_14_Linsley2006_Rarotonga2RSrCa.SrCa 9.451562 0.01758016 -0.0137009325 KIND_coral SrCa 200.1722 -21.237778 10.45958361 -0.04088697 24.65385 25.08382 24.31876 25.64367 -0.4299697 0.335092914 -0.98981941
Pacific_17_DeLong2012_NewCaledonia.SrCa 9.212525 0.08058148 0.0261104903 KIND_coral SrCa 166.4667 -22.475000 10.18001532 -0.04336146 22.31221 24.17058 22.91437 24.35355 -1.8583663 -0.602158891 -2.04134466
Pacific_23_Wu2013_Tonga.SrCa 9.092400 0.10284271 0.0405833474 KIND_coral SrCa 185.2833 -19.933333 10.36832545 -0.05412215 23.57492 25.47512 24.32477 26.00503 -1.9001965 -0.749847345 -2.43010246
Pacific_9_Alibert2008_Papua.SrCa 8.811542 -0.14009974 -0.0706492234 KIND_coral SrCa 150.5000 -2.500000 10.18272134 -0.04586068 29.89881 26.84391 28.35829 29.26884 3.0548987 1.540518342 0.62997019
Pacific_Linsley2006_Fiji_compositedelo_singleSrCa.SrCa 9.279532 0.04636367 0.0142398706 KIND_coral SrCa 179.2333 -16.816667 10.17669700 -0.03573280 25.10762 26.40513 25.50613 27.28370 -1.2975102 -0.398509797 -2.17608560
Indian_3_Zinke2008_Mayotte.SrCa 8.841092 -0.02373912 -0.0007658073 KIND_coral SrCa 45.1000 -12.650000 10.14054876 -0.05164758 25.16008 24.70044 25.14525 27.02964 0.4596366 0.014827556 -1.86955945
Atlantic_1_Goodkin2008_Bermuda.SrCa 9.404950 -0.01045190 0.0292109732 KIND_coral SrCa 295.0112 30.648600 10.53247669 -0.04659186 24.20008 23.97575 24.82704 23.33057 0.2243289 -0.626954484 0.86950776
Atlantic_2_Hetzinger2010_Guadeloupe.SrCa 8.908868 -0.16351968 -0.0437240170 KIND_coral SrCa 298.5100 16.200000 10.04878311 -0.04025067 28.32041 24.25787 27.23411 27.34342 4.0625334 1.086292975 0.97698575
Atlantic_4_Kunhert2005_Bermuda.SrCa 9.092083 0.02006067 0.0018206630 KIND_coral SrCa 295.3000 32.467000 8.56571019 0.02179389 24.15232 23.23185 24.06878 22.62988 0.9204723 0.083540056 1.52244021
